date,date_depot_count,date_publication_count
2019-05,2.0,0.0
2019-06,9.0,0.0
2019-07,12.0,14.0
2019-08,6.0,0.0
2019-09,20.0,0.0
2019-10,2.0,0.0
2019-11,9.0,13.0
2019-12,2.0,0.0
2020-01,2.0,27.0
2020-02,0.0,1.0
2020-03,2.0,0.0
2020-04,2.0,0.0
2020-05,0.0,0.0
2020-06,9.0,1.0
2020-07,93.0,1.0
2020-08,333.0,0.0
2020-09,347.0,0.0
2020-10,166.0,0.0
2020-11,155.0,0.0
2020-12,125.0,0.0
2021-01,89.0,4.0
2021-02,184.0,5.0
2021-03,118.0,0.0
2021-04,115.0,5.0
2021-05,137.0,267.0
2021-06,190.0,392.0
2021-07,208.0,292.0
2021-08,351.0,327.0
2021-09,258.0,297.0
2021-10,150.0,205.0
2021-11,169.0,221.0
2021-12,181.0,106.0
2022-01,115.0,223.0
2022-02,80.0,195.0
2022-03,58.0,121.0
2022-04,70.0,160.0
2022-05,69.0,198.0
2022-06,51.0,124.0
2022-07,95.0,121.0
2022-08,94.0,119.0
2022-09,104.0,113.0
2022-10,137.0,96.0
2022-11,111.0,110.0
2022-12,69.0,49.0
2023-01,63.0,71.0
2023-02,83.0,19.0
2023-03,50.0,206.0
2023-04,34.0,126.0
2023-05,115.0,139.0
2023-06,38.0,132.0
2023-07,99.0,85.0
2023-08,57.0,146.0
2023-09,89.0,83.0
2023-10,84.0,36.0
2023-11,77.0,81.0
2023-12,97.0,61.0
2024-01,90.0,0.0
2024-02,109.0,121.0
2024-03,115.0,118.0
2024-04,110.0,76.0
2024-05,122.0,224.0
2024-06,48.0,29.0
