departement,count
01,86
02,84
03,82
04,51
05,61
06,222
07,62
08,46
09,35
10,59
11,136
12,49
13,236
14,118
15,40
16,70
17,97
18,71
19,58
21,144
22,96
23,33
24,84
25,122
26,88
27,95
28,71
29,155
2A,8
2B,14
30,158
31,219
32,33
33,209
34,191
35,154
36,36
37,85
38,123
39,25
40,47
41,65
42,166
43,32
44,196
45,114
46,29
47,55
48,29
49,160
50,65
51,113
52,30
53,60
54,128
55,47
56,90
57,144
58,45
59,294
60,99
61,25
62,244
63,112
64,112
65,51
66,114
67,138
68,127
69,223
70,53
71,98
72,109
73,91
74,92
75,137
76,205
77,172
78,169
79,81
80,127
81,73
82,41
83,207
84,78
85,75
86,68
87,92
88,61
89,46
90,42
91,148
92,159
93,149
94,129
95,181
971,40
972,80
973,66
974,242
975,12
976,25
977,26
978,20
986,2
987,145
988,94
997,32
998,18
