employer,F_revenue,M_revenue
EDUCATION NATIONALE,2913787.0,4583114.0
PROFESSION LIBERALE,435637.0,2096754.0
ALLIANZ,341.0,2445868.0
COUR DES COMPTES,116631.0,695088.0
MINISTERE DE L'INTERIEUR,0.0,777529.0
"SCP 
        [DONNEES NON PUBLIEES]",13363.0,745148.0
[DONNEES NON PUBLIEES],194642.0,532710.0
MINISTERE DE L'EDUCATION NATIONALE,239241.0,456527.0
LIBERAL,90849.0,585689.0
MEDECIN LIBERAL,0.0,667021.0
ASSEMBLEE NATIONALE,297054.0,335717.0
SNCF,0.0,543043.0
LA POSTE,30464.0,494541.0
ETAT,75360.0,390514.0
DIRECTION GENERALE DES FINANCES PUBLIQUES,0.0,457910.0
ORANGE,24000.0,418260.0
EDF,0.0,441057.0
"SARL 
        [DONNEES NON PUBLIEES]",24000.0,391234.0
MINISTERE EDUCATION NATIONALE,78285.0,333036.0
CONSEIL D'ETAT,48884.0,352952.0
DGFIP,45925.0,347957.0
GROUPE LA POSTE,166023.0,223566.0
AVOCAT,0.0,376006.0
MINISTERE DE LA JUSTICE,77429.0,285143.0
POLE EMPLOI,63744.0,284748.0
FRANCE TELEVISIONS,0.0,343949.0
PARLEMENT EUROPEEN,147902.0,188574.0
REGION REUNION,89399.0,232596.0
RETRAITE,57123.0,262263.0
TRAVAILLEUR INDEPENDANT,180075.0,130743.0
"SAS 
        [DONNEES NON PUBLIEES]",86118.0,220625.0
ACTIVITE LIBERALE,73418.0,227869.0
BNP PARIBAS,0.0,301206.0
MINISTERE DE L'ECONOMIE ET DES FINANCES,0.0,299480.0
MINISTERE DE L'AGRICULTURE,32589.0,260915.0
CONSEIL DEPARTEMENTAL,202458.0,87412.0
MOI MEME,0.0,285356.0
ENGIE,255075.0,29534.0
"SCEA 
        [DONNEES NON PUBLIEES]",169121.0,106800.0
AIR FRANCE,9978.0,263404.0
ENEDIS,26094.0,244288.0
VEOLIA,0.0,262882.0
VILLE DE NICE,219999.0,35600.0
MOI-MEME,5000.0,232960.0
"PHARMACIE 
        [DONNEES NON PUBLIEES]",22821.0,210574.0
INDEPENDANT,0.0,230905.0
SENAT,116805.0,112617.0
UNIVERSITE DE LA REUNION,105251.0,122712.0
MINISTERE DE LA CULTURE,69498.0,155703.0
RATP,45519.0,153079.0
BOUYGUES TELECOM,78438.0,117150.0
"EARL 
        [DONNEES NON PUBLIEES]",48513.0,144706.0
COUR DE CASSATION,88164.0,102798.0
AGRICULTEUR,0.0,186710.0
REGION ILE-DE-FRANCE,34120.0,147663.0
UNIVERSITE DE LORRAINE,29126.0,149272.0
CEA,0.0,177030.0
MINISTERE DES ARMEES,18853.0,157096.0
UNIVERSITE DE STRASBOURG,72859.0,98291.0
AIRBUS,133837.0,36011.0
ENTREPRISE INDIVIDUELLE,30701.0,137241.0
AXA,0.0,156464.0
CENTRE HOSPITALIER DE BEZIERS,156099.0,0.0
INRAE,41610.0,112353.0
NEANT,22410.0,128769.0
"GAEC
        [DONNEES NON PUBLIEES]",60625.0,89383.0
CHAMBRE D'AGRICULTURE,0.0,148888.0
ORANGE SA,36584.0,111533.0
REGION OCCITANIE,126216.0,17757.0
SANOFI,0.0,140121.0
CLINIQUE VETERINAIRE,2800.0,134000.0
CREDIT DU NORD,75012.0,60191.0
CHEF D'EXPLOITATION,42582.0,92272.0
CAISSE D'EPARGNE GRAND EST EUROPE,0.0,134625.0
CONSEIL DEPARTEMENTAL DU GARD,63374.0,67994.0
WWF FRANCE,31877.0,98392.0
CAF DE L'HERAULT,21826.0,106542.0
CHU,25626.0,100881.0
RTE,0.0,125070.0
GRDF,0.0,123678.0
CIC,67552.0,55680.0
METROPOLE ROUEN NORMANDIE,35516.0,86970.0
0,0.0,120000.0
BORDEAUX METROPOLE,118940.0,1058.0
UNIVERSITE DE LIMOGES,738.0,118464.0
MINISTERE DE LA TRANSITION ECOLOGIQUE,67431.0,50330.0
CHU DE LA REUNION,33793.0,83644.0
UNIVERSITE GRENOBLE ALPES,0.0,116140.0
SOCIETE GENERALE,115897.0,0.0
GROUPAMA,75226.0,40171.0
CONSEIL REGIONAL,113474.0,1000.0
THALES,0.0,113147.0
CHU AMIENS,112849.0,0.0
MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES,60077.0,51719.0
CREDIT MUTUEL,28112.0,83332.0
UNIVERSITE DE BOURGOGNE,0.0,108028.0
"SELARL 
        [DONNEES NON PUBLIEES]",0.0,108000.0
DEPARTEMENT DU NORD,49849.0,57618.0
UNIVERSITE DU HAVRE,0.0,106463.0
AIX MARSEILLE UNIVERSITE,54521.0,51621.0
