mandate_category,year,revenue
COLLECTIVITE A STATUT PARTICULIER,2011,282932.0
COLLECTIVITE A STATUT PARTICULIER,2012,458481.0
COLLECTIVITE A STATUT PARTICULIER,2013,1107318.0
COLLECTIVITE A STATUT PARTICULIER,2014,3931866.0
COLLECTIVITE A STATUT PARTICULIER,2015,6335422.0
COLLECTIVITE A STATUT PARTICULIER,2016,8804767.0
COLLECTIVITE A STATUT PARTICULIER,2017,10524970.0
COLLECTIVITE A STATUT PARTICULIER,2018,14885774.0
COLLECTIVITE A STATUT PARTICULIER,2019,16661925.0
COLLECTIVITE A STATUT PARTICULIER,2020,8759228.0
COLLECTIVITE A STATUT PARTICULIER,2021,6770656.0
COLLECTIVITE A STATUT PARTICULIER,2022,4066585.0
COLLECTIVITE A STATUT PARTICULIER,2023,2465692.0
COLLECTIVITE A STATUT PARTICULIER,2024,16969.0
ELU DEPARTEMENTAL,2011,2477075.0
ELU DEPARTEMENTAL,2012,5930583.0
ELU DEPARTEMENTAL,2013,8088962.0
ELU DEPARTEMENTAL,2014,15185362.0
ELU DEPARTEMENTAL,2015,61548625.0
ELU DEPARTEMENTAL,2016,95727261.0
ELU DEPARTEMENTAL,2017,106960505.0
ELU DEPARTEMENTAL,2018,111663677.0
ELU DEPARTEMENTAL,2019,106421870.0
ELU DEPARTEMENTAL,2020,109909368.0
ELU DEPARTEMENTAL,2021,73327422.0
ELU DEPARTEMENTAL,2022,13739914.0
ELU DEPARTEMENTAL,2023,2504956.0
ELU DEPARTEMENTAL,2024,76134.0
ELU REGIONAL,2010,244061.0
ELU REGIONAL,2011,2363100.0
ELU REGIONAL,2012,3966150.0
ELU REGIONAL,2013,4784455.0
ELU REGIONAL,2014,7015558.0
ELU REGIONAL,2015,17456102.0
ELU REGIONAL,2016,36756997.0
ELU REGIONAL,2017,41504510.0
ELU REGIONAL,2018,42002981.0
ELU REGIONAL,2019,40350140.0
ELU REGIONAL,2020,41208607.0
ELU REGIONAL,2021,36228906.0
ELU REGIONAL,2022,11145952.0
ELU REGIONAL,2023,3048829.0
ELU REGIONAL,2024,37952.0
MAIRE OU ADJOINT MUNICIPAL,2010,141355.0
MAIRE OU ADJOINT MUNICIPAL,2011,2384665.0
MAIRE OU ADJOINT MUNICIPAL,2012,9525920.0
MAIRE OU ADJOINT MUNICIPAL,2013,11830425.0
MAIRE OU ADJOINT MUNICIPAL,2014,57242279.0
MAIRE OU ADJOINT MUNICIPAL,2015,104789114.0
MAIRE OU ADJOINT MUNICIPAL,2016,125463658.0
MAIRE OU ADJOINT MUNICIPAL,2017,9985569331.0
MAIRE OU ADJOINT MUNICIPAL,2018,140565520.0
MAIRE OU ADJOINT MUNICIPAL,2019,4310723652.287
MAIRE OU ADJOINT MUNICIPAL,2020,80426487.0
MAIRE OU ADJOINT MUNICIPAL,2021,19521035.0
MAIRE OU ADJOINT MUNICIPAL,2022,12144713.0
MAIRE OU ADJOINT MUNICIPAL,2023,3398908.0
MAIRE OU ADJOINT MUNICIPAL,2024,8421.0
MEMBRE D'EPCI,2010,608193.0
MEMBRE D'EPCI,2011,3865625.0
MEMBRE D'EPCI,2012,9461281.0
MEMBRE D'EPCI,2013,11331592.0
MEMBRE D'EPCI,2014,312787580.0
MEMBRE D'EPCI,2015,142241133.0
MEMBRE D'EPCI,2016,167577181.0
MEMBRE D'EPCI,2017,170875563.0
MEMBRE D'EPCI,2018,178307120.0
MEMBRE D'EPCI,2019,178014810.0
MEMBRE D'EPCI,2020,127944126.0
MEMBRE D'EPCI,2021,28734885.0
MEMBRE D'EPCI,2022,8698123.0
MEMBRE D'EPCI,2023,2687896.0
MEMBRE D'EPCI,2024,88072.0
