declarant_age_bin,year,revenue_per_pers
17-30,2010,0.0
17-30,2011,0.0
17-30,2012,4064.0
17-30,2013,0.0
17-30,2014,8358.242424242424
17-30,2015,14469.4
17-30,2016,20177.302631578947
17-30,2017,23536.5
17-30,2018,31381.020833333332
17-30,2019,40943.27368421053
17-30,2020,25359.010101010103
17-30,2021,25424.244897959183
17-30,2022,26124.0
17-30,2023,20898.5
17-30,2024,0.0
30-40,2010,26794.0
30-40,2011,27714.363636363636
30-40,2012,27169.78787878788
30-40,2013,30331.728813559323
30-40,2014,30416.64
30-40,2015,39784.62708719852
30-40,2016,43870.75537190083
30-40,2017,46668.483180428135
30-40,2018,53750.177177177175
30-40,2019,54709.13469985359
30-40,2020,39799.54779969651
30-40,2021,31743.34988179669
30-40,2022,29561.33540372671
30-40,2023,19770.727272727272
30-40,2024,3626.5714285714284
40-50,2010,11663.285714285714
40-50,2011,32149.27027027027
40-50,2012,40328.63157894737
40-50,2013,43017.48677248677
40-50,2014,41697.2306763285
40-50,2015,53563.11911764706
40-50,2016,60632.18270481144
40-50,2017,63749.0570719603
40-50,2018,68441.72997572816
40-50,2019,64475.371462974115
40-50,2020,51811.422398052346
40-50,2021,37421.76776776777
40-50,2022,29083.50684931507
40-50,2023,23526.466216216217
40-50,2024,1653.357142857143
50-60,2010,35991.0
50-60,2011,42369.870689655174
50-60,2012,68874.92727272728
50-60,2013,68555.10486891386
50-60,2014,312401.5776649746
50-60,2015,67028.49593054802
50-60,2016,75296.29458082445
50-60,2017,75723.14696768482
50-60,2018,81245.77298724154
50-60,2019,76448.5465354641
50-60,2020,59091.04932929468
50-60,2021,43394.9879759519
50-60,2022,35532.153846153844
50-60,2023,27767.041025641025
50-60,2024,6179.692307692308
60-70,2010,42648.0
60-70,2011,47373.04761904762
60-70,2012,60288.31578947369
60-70,2013,58748.286516853936
60-70,2014,54042.00243309003
60-70,2015,71711.99546925566
60-70,2016,80872.0952115813
60-70,2017,75686.34217506631
60-70,2018,76834.7129287599
60-70,2019,2282794.001584786
60-70,2020,53038.317516405856
60-70,2021,32751.800471327573
60-70,2022,26876.279835390946
60-70,2023,19987.173410404623
60-70,2024,4336.76
70+,2010,37982.2
70+,2011,41067.833333333336
70+,2012,41386.448979591834
70+,2013,51236.12727272727
70+,2014,51705.333333333336
70+,2015,54480.833333333336
70+,2016,56124.9375
70+,2017,17059278.731034484
70+,2018,62232.2099827883
70+,2019,55556.707482993195
70+,2020,42430.925686591276
70+,2021,31225.081683168315
70+,2022,20997.803370786518
70+,2023,15054.148148148148
70+,2024,750.2857142857143
